regime,concept,method,layer,label,mmd2,abs_skew_pre,abs_skew_post,abs_kurt_pre,abs_kurt_post,delta_skew,delta_kurt
single,eyeglasses,diff_means,0,pos,0.8351194012968391,0.2979992628097534,0.3448983430862427,0.8032841682434082,0.842688798904419,0.04689908027648926,0.03940463066101074
single,eyeglasses,diff_means,0,neg,0.9589105239111512,0.2813762426376343,0.34876465797424316,0.7369539141654968,0.9896588325500488,0.06738841533660889,0.252704918384552
single,eyeglasses,diff_means,1,pos,0.04299338769836858,0.27782267332077026,0.2795102894306183,0.45290035009384155,0.45807576179504395,0.0016876161098480225,0.005175411701202393
single,eyeglasses,diff_means,1,neg,0.06034579296526332,0.224748894572258,0.3289104104042053,0.44941088557243347,0.6752631664276123,0.10416151583194733,0.22585228085517883
single,eyeglasses,diff_means,2,pos,0.010816541264542012,0.25298386812210083,0.2570500373840332,0.3834491968154907,0.4105257987976074,0.004066169261932373,0.0270766019821167
single,eyeglasses,diff_means,2,neg,0.011235635655839626,0.21891149878501892,0.30674612522125244,0.35777968168258667,0.5624165534973145,0.08783462643623352,0.20463687181472778
single,eyeglasses,diff_means,3,pos,0.0034004258333875104,0.2168334573507309,0.23069168627262115,0.3471280336380005,0.38875406980514526,0.013858228921890259,0.041626036167144775
single,eyeglasses,diff_means,3,neg,0.013371474741583622,0.18547022342681885,0.26828086376190186,0.29722708463668823,0.48255982995033264,0.08281064033508301,0.1853327453136444
single,eyeglasses,diff_means,4,pos,0.030779490266954035,0.19648775458335876,0.21294349431991577,0.3323829770088196,0.37567710876464844,0.016455739736557007,0.04329413175582886
single,eyeglasses,diff_means,4,neg,0.025750384815814265,0.15710291266441345,0.23788288235664368,0.24761010706424713,0.42478668689727783,0.08077996969223022,0.1771765798330307
single,eyeglasses,diff_means,5,pos,0.0,0.21500125527381897,0.2395666539669037,0.3510620594024658,0.4142889380455017,0.024565398693084717,0.06322687864303589
single,eyeglasses,diff_means,5,neg,0.003132486373480514,0.18769602477550507,0.23525890707969666,0.28441566228866577,0.4154691696166992,0.04756288230419159,0.13105350732803345
single,eyeglasses,diff_means,6,pos,0.031198375362395225,0.21415787935256958,0.23940631747245789,0.34301313757896423,0.40245702862739563,0.025248438119888306,0.059443891048431396
single,eyeglasses,diff_means,6,neg,0.016601089159621774,0.1850748360157013,0.22411152720451355,0.3098984658718109,0.4101797342300415,0.039036691188812256,0.10028126835823059
single,eyeglasses,diff_means,7,pos,0.015705674749655785,0.23906219005584717,0.2618395984172821,0.3766297399997711,0.4380512833595276,0.022777408361434937,0.06142154335975647
single,eyeglasses,diff_means,7,neg,0.00616978269567281,0.20219135284423828,0.24021010100841522,0.3588527739048004,0.432917058467865,0.03801874816417694,0.07406428456306458
single,eyeglasses,diff_means,8,pos,0.03193467841647424,0.2294541895389557,0.25370749831199646,0.39477628469467163,0.4635014533996582,0.02425330877304077,0.06872516870498657
single,eyeglasses,diff_means,8,neg,0.02139159750816222,0.18586301803588867,0.24162212014198303,0.31566673517227173,0.4545708894729614,0.05575910210609436,0.1389041543006897
single,eyeglasses,diff_means,9,pos,0.03517526748962885,0.19324716925621033,0.2176959365606308,0.33857887983322144,0.39613091945648193,0.02444876730442047,0.0575520396232605
single,eyeglasses,diff_means,9,neg,0.01945045024165082,0.15672625601291656,0.2249354124069214,0.27123576402664185,0.4101758599281311,0.06820915639400482,0.13894009590148926
single,eyeglasses,diff_means,10,pos,0.025188471987010574,0.19368234276771545,0.2110854834318161,0.3566451072692871,0.39368849992752075,0.017403140664100647,0.03704339265823364
single,eyeglasses,diff_means,10,neg,0.0111553343029136,0.15817752480506897,0.21977882087230682,0.2672617733478546,0.40922850370407104,0.061601296067237854,0.14196673035621643
single,eyeglasses,diff_means,11,pos,0.014291936605308253,0.19624990224838257,0.221572607755661,0.392012357711792,0.43856602907180786,0.025322705507278442,0.04655367136001587
single,eyeglasses,diff_means,11,neg,0.0063841469357877045,0.14835436642169952,0.21949854493141174,0.2203502655029297,0.3783195912837982,0.07114417850971222,0.15796932578086853
single,eyeglasses,diff_means,12,pos,0.0,0.17521223425865173,0.20094063878059387,0.35154232382774353,0.39633768796920776,0.02572840452194214,0.04479536414146423
single,eyeglasses,diff_means,12,neg,0.0,0.12647631764411926,0.19472308456897736,0.19808731973171234,0.36525964736938477,0.0682467669248581,0.16717232763767242
single,eyeglasses,diff_means,13,pos,0.0,0.18151557445526123,0.21226918697357178,0.3407747745513916,0.38609302043914795,0.030753612518310547,0.04531824588775635
single,eyeglasses,diff_means,13,neg,0.0009488129901857878,0.13467729091644287,0.2042718082666397,0.2053481638431549,0.3585527539253235,0.06959451735019684,0.15320459008216858
single,eyeglasses,diff_means,14,pos,5.751981346757695e-05,0.19566577672958374,0.22575998306274414,0.37569910287857056,0.4214651882648468,0.0300942063331604,0.045766085386276245
single,eyeglasses,diff_means,14,neg,0.009711580740924486,0.14938698709011078,0.21856752038002014,0.22244632244110107,0.395231157541275,0.06918053328990936,0.17278483510017395
single,eyeglasses,diff_means,15,pos,0.0,0.18362411856651306,0.21037521958351135,0.3348481357097626,0.3687596321105957,0.02675110101699829,0.03391149640083313
single,eyeglasses,diff_means,15,neg,0.005130265963759317,0.13746803998947144,0.21616873145103455,0.20967096090316772,0.38465064764022827,0.07870069146156311,0.17497968673706055
single,eyeglasses,diff_means,16,pos,0.0025643796705783206,0.18493422865867615,0.2063969373703003,0.3416707515716553,0.3808939456939697,0.021462708711624146,0.03922319412231445
single,eyeglasses,diff_means,16,neg,0.0,0.14503484964370728,0.2154877632856369,0.2224697470664978,0.38709163665771484,0.07045291364192963,0.16462188959121704
single,eyeglasses,diff_means,17,pos,0.004867039785621197,0.18306107819080353,0.2072066068649292,0.3285209834575653,0.36611098051071167,0.02414552867412567,0.03758999705314636
single,eyeglasses,diff_means,17,neg,0.0,0.14086279273033142,0.22264820337295532,0.21874138712882996,0.39193546772003174,0.0817854106426239,0.17319408059120178
single,eyeglasses,diff_means,18,pos,0.009710130234199532,0.19061867892742157,0.21531222760677338,0.33697009086608887,0.3818258047103882,0.024693548679351807,0.044855713844299316
single,eyeglasses,diff_means,18,neg,0.00029121917563701416,0.1571476012468338,0.24404558539390564,0.245382159948349,0.4366898238658905,0.08689798414707184,0.1913076639175415
single,eyeglasses,diff_means,19,pos,0.016570906761621096,0.20407100021839142,0.22570624947547913,0.3504759669303894,0.37839701771736145,0.021635249257087708,0.027921050786972046
single,eyeglasses,diff_means,19,neg,0.0004282146145597743,0.1646888256072998,0.24356096982955933,0.25851941108703613,0.4423784613609314,0.07887214422225952,0.18385905027389526
single,eyeglasses,diff_means,20,pos,0.0061497468919955445,0.22208480536937714,0.24019721150398254,0.43316325545310974,0.46900323033332825,0.018112406134605408,0.035839974880218506
single,eyeglasses,diff_means,20,neg,0.0,0.17865438759326935,0.25215399265289307,0.3111118674278259,0.4808894097805023,0.07349960505962372,0.1697775423526764
single,eyeglasses,diff_means,21,pos,0.003753560599868644,0.2287883758544922,0.2518942356109619,0.4550401568412781,0.4957980215549469,0.023105859756469727,0.04075786471366882
single,eyeglasses,diff_means,21,neg,0.0,0.2075517773628235,0.25897276401519775,0.37935781478881836,0.48405593633651733,0.05142098665237427,0.10469812154769897
single,eyeglasses,diff_means,22,pos,0.008452958143424283,0.1930456906557083,0.2207542061805725,0.3547283113002777,0.4132238030433655,0.027708515524864197,0.05849549174308777
single,eyeglasses,diff_means,22,neg,0.0,0.17599044740200043,0.25360924005508423,0.3409300446510315,0.46717795729637146,0.0776187926530838,0.12624791264533997
single,eyeglasses,diff_means,23,pos,0.0002055063877115515,0.18387697637081146,0.20725449919700623,0.32347699999809265,0.35672780871391296,0.023377522826194763,0.03325080871582031
single,eyeglasses,diff_means,23,neg,0.0021273049005481326,0.15082672238349915,0.20594720542430878,0.2425626516342163,0.361849844455719,0.05512048304080963,0.11928719282150269
single,eyeglasses,lr,0,pos,0.0,0.2979992628097534,0.3369518220424652,0.8032841682434082,0.8374627232551575,0.03895255923271179,0.03417855501174927
single,eyeglasses,lr,0,neg,0.002204445588996018,0.2813762426376343,0.3497447371482849,0.7369539141654968,0.980331301689148,0.06836849451065063,0.24337738752365112
single,eyeglasses,lr,1,pos,0.0,0.27782267332077026,0.2762119770050049,0.45290035009384155,0.4529786705970764,-0.0016106963157653809,7.832050323486328e-05
single,eyeglasses,lr,1,neg,0.0,0.224748894572258,0.32371193170547485,0.44941088557243347,0.6674554944038391,0.09896303713321686,0.21804460883140564
single,eyeglasses,lr,2,pos,0.0,0.25298386812210083,0.25446784496307373,0.3834491968154907,0.40656086802482605,0.0014839768409729004,0.023111671209335327
single,eyeglasses,lr,2,neg,0.0,0.21891149878501892,0.3049564063549042,0.35777968168258667,0.558144211769104,0.08604490756988525,0.20036453008651733
single,eyeglasses,lr,3,pos,0.0,0.2168334573507309,0.22985036671161652,0.3471280336380005,0.3816661834716797,0.01301690936088562,0.0345381498336792
single,eyeglasses,lr,3,neg,0.0,0.18547022342681885,0.26575079560279846,0.29722708463668823,0.4844685196876526,0.08028057217597961,0.18724143505096436
single,eyeglasses,lr,4,pos,0.11992968992018693,0.19648775458335876,0.21435554325580597,0.3323829770088196,0.370067834854126,0.017867788672447205,0.037684857845306396
single,eyeglasses,lr,4,neg,0.10271260646231894,0.15710291266441345,0.23615755140781403,0.24761010706424713,0.4155973792076111,0.07905463874340057,0.16798727214336395
single,eyeglasses,lr,5,pos,0.05975076545294766,0.21500125527381897,0.24236351251602173,0.3510620594024658,0.4085378050804138,0.02736225724220276,0.057475745677948
