layer,concept,label,n,pca_k,pca_var_explained,frac_normal_marg,mean_skew,mean_kurt,mean_abs_skew,mean_abs_kurt,frac_normal_pca,mean_skew_pca,mean_kurt_pca
0,eyeglasses,pos,172,9,0.9537134170532227,0.541015625,-0.035981111228466034,0.42648234963417053,0.2979992628097534,0.8032841682434082,0.4444444444444444,0.06762118637561798,1.4443628787994385
0,eyeglasses,neg,543,9,0.9508596062660217,0.296875,-0.03260176628828049,0.4994227886199951,0.2813762426376343,0.7369539141654968,0.1111111111111111,0.32476428151130676,1.211172103881836
1,eyeglasses,pos,172,28,0.9506465196609497,0.705078125,-0.020118296146392822,0.2048528641462326,0.27782267332077026,0.45290035009384155,0.6785714285714286,-0.06448643654584885,0.3572353422641754
1,eyeglasses,neg,543,34,0.9507160782814026,0.4921875,-0.017433010041713715,0.35287439823150635,0.224748894572258,0.44941088557243347,0.47058823529411764,-0.00697342911735177,0.4638349413871765
2,eyeglasses,pos,172,36,0.9501417875289917,0.771484375,-0.020183958113193512,0.12542304396629333,0.25298386812210083,0.3834491968154907,0.8611111111111112,0.03816339373588562,0.17536231875419617
2,eyeglasses,neg,543,48,0.9506922364234924,0.5380859375,-0.014905438758432865,0.2332758754491806,0.21891149878501892,0.35777968168258667,0.4791666666666667,0.022513752803206444,0.35995760560035706
3,eyeglasses,pos,172,45,0.9506122469902039,0.8291015625,-0.008284373208880424,0.0758519321680069,0.2168334573507309,0.3471280336380005,0.8666666666666667,0.015468318946659565,0.142832413315773
3,eyeglasses,neg,543,62,0.9503913521766663,0.6328125,-0.006192480213940144,0.1653582751750946,0.18547022342681885,0.29722708463668823,0.6451612903225806,0.005596276838332415,0.26999467611312866
4,eyeglasses,pos,172,49,0.950813889503479,0.8603515625,0.0005211238749325275,0.04789673537015915,0.19648775458335876,0.3323829770088196,0.7959183673469388,-0.028046971186995506,0.1410534679889679
4,eyeglasses,neg,543,65,0.9501234292984009,0.7021484375,0.0008246561046689749,0.12518596649169922,0.15710291266441345,0.24761010706424713,0.6153846153846154,-0.0033629757817834616,0.2769849896430969
5,eyeglasses,pos,172,64,0.9510084390640259,0.8193359375,0.008136499673128128,0.07773086428642273,0.21500125527381897,0.3510620594024658,0.796875,0.012669038027524948,0.15693792700767517
5,eyeglasses,neg,543,95,0.9502572417259216,0.6220703125,0.009185072034597397,0.1779889166355133,0.18769602477550507,0.28441566228866577,0.7789473684210526,0.01892968639731407,0.18349173665046692
6,eyeglasses,pos,172,74,0.9501968026161194,0.8310546875,0.006591318175196648,0.09053676575422287,0.21415787935256958,0.34301313757896423,0.8918918918918919,-0.030167849734425545,0.033224377781152725
6,eyeglasses,neg,543,119,0.9503884315490723,0.646484375,0.008146246895194054,0.21850091218948364,0.1850748360157013,0.3098984658718109,0.7983193277310925,-0.01277341041713953,0.17470291256904602
7,eyeglasses,pos,172,84,0.9501284956932068,0.80859375,0.002812338061630726,0.1425490528345108,0.23906219005584717,0.3766297399997711,0.8809523809523809,-0.003582219360396266,0.09094363451004028
7,eyeglasses,neg,543,143,0.9501293301582336,0.6044921875,0.009409497492015362,0.2820119857788086,0.20219135284423828,0.3588527739048004,0.8251748251748252,-0.014102946035563946,0.17048917710781097
8,eyeglasses,pos,172,85,0.9507941603660583,0.8017578125,-0.004656605422496796,0.15864992141723633,0.2294541895389557,0.39477628469467163,0.8588235294117647,-0.006191203370690346,0.18860900402069092
8,eyeglasses,neg,543,139,0.9505078792572021,0.625,0.00339485052973032,0.23441006243228912,0.18586301803588867,0.31566673517227173,0.8201438848920863,-0.01217006053775549,0.14497606456279755
9,eyeglasses,pos,172,93,0.9500208497047424,0.8603515625,0.0069832466542720795,0.07643985748291016,0.19324716925621033,0.33857887983322144,0.956989247311828,-0.038067203015089035,-0.015087042935192585
9,eyeglasses,neg,543,161,0.9503906965255737,0.703125,0.003156496910378337,0.1775335967540741,0.15672625601291656,0.27123576402664185,0.8819875776397516,-0.015317573212087154,0.10529128462076187
10,eyeglasses,pos,172,99,0.9503174424171448,0.8701171875,0.0035763480700552464,0.09647540003061295,0.19368234276771545,0.3566451072692871,0.8787878787878788,-0.008350657299160957,0.10567750781774521
10,eyeglasses,neg,543,179,0.9503312706947327,0.7109375,0.0013239786494523287,0.17201875150203705,0.15817752480506897,0.2672617733478546,0.8603351955307262,0.013379276730120182,0.11262093484401703
11,eyeglasses,pos,172,102,0.9502781629562378,0.84375,-0.0033458140678703785,0.11446815729141235,0.19624990224838257,0.392012357711792,0.8921568627450981,-0.049973390996456146,0.135813906788826
11,eyeglasses,neg,543,192,0.9504756927490234,0.751953125,0.005400991998612881,0.09254316985607147,0.14835436642169952,0.2203502655029297,0.8020833333333334,-0.0034308284521102905,0.1509736329317093
12,eyeglasses,pos,172,105,0.9502687454223633,0.88671875,0.006018303334712982,0.07164834439754486,0.17521223425865173,0.35154232382774353,0.9142857142857143,-0.01976211927831173,0.068153977394104
12,eyeglasses,neg,543,204,0.9503373503684998,0.8115234375,0.0050062332302331924,0.04527885466814041,0.12647631764411926,0.19808731973171234,0.8627450980392157,-0.0061025116592645645,0.12211910635232925
13,eyeglasses,pos,172,108,0.951275646686554,0.869140625,0.0021794745698571205,0.05966700613498688,0.18151557445526123,0.3407747745513916,0.8981481481481481,-0.005551978480070829,0.11094263195991516
13,eyeglasses,neg,543,212,0.9500697255134583,0.80078125,0.005812471732497215,0.06184668838977814,0.13467729091644287,0.2053481638431549,0.8301886792452831,-0.0018781477119773626,0.17074169218540192
14,eyeglasses,pos,172,105,0.9501575231552124,0.849609375,0.014696592465043068,0.10888896882534027,0.19566577672958374,0.37569910287857056,0.9238095238095239,0.007465637754648924,0.10164587944746017
14,eyeglasses,neg,543,209,0.9502874612808228,0.736328125,0.007477151695638895,0.08044438809156418,0.14938698709011078,0.22244632244110107,0.7464114832535885,-0.017284762114286423,0.25590255856513977
15,eyeglasses,pos,172,108,0.9509079456329346,0.8857421875,0.00808481965214014,0.06370817124843597,0.18362411856651306,0.3348481357097626,0.8425925925925926,0.0019599662628024817,0.21226288378238678
15,eyeglasses,neg,543,219,0.9500700235366821,0.77734375,0.006810018792748451,0.07798515260219574,0.13746803998947144,0.20967096090316772,0.771689497716895,-0.000999678741209209,0.20820342004299164
16,eyeglasses,pos,172,110,0.95017009973526,0.8740234375,0.006213960703462362,0.081159807741642,0.18493422865867615,0.3416707515716553,0.8545454545454545,-0.003907416481524706,0.20600369572639465
16,eyeglasses,neg,543,232,0.9502471089363098,0.744140625,-0.0011894488707184792,0.10751466453075409,0.14503484964370728,0.2224697470664978,0.75,0.0008890078752301633,0.30112311244010925
17,eyeglasses,pos,172,113,0.9512868523597717,0.8798828125,0.005397123284637928,0.056138310581445694,0.18306107819080353,0.3285209834575653,0.8407079646017699,0.022288881242275238,0.2551509141921997
17,eyeglasses,neg,543,237,0.9503413438796997,0.763671875,-0.00127853371668607,0.09318146854639053,0.14086279273033142,0.21874138712882996,0.7257383966244726,0.010245762765407562,0.30444851517677307
